boys_name,last_name,street_address,town,zip ,math_score,ela_score,total_score,Column1,choice_1,choice_2,choice_3,choice_4
Aydan,Archer,972 The Hammocks Boulevard,Western Bayou,72433,491,245,736,,West Valley High,South Plateau Secondary,Eastern Valley Junior-Sec,North Plateau Secondary
Jayden,Payne,334 Rancho Cordova Avenue,South Valley,72356,484,252,736,,Central Terrace Junior-Sec,East River Senior,Southern Terrace Senior,Main River College
Devin,Aguirre,513 Fall River Place,Western Ridge,72429,425,311,736,,Northern Bay College,Main Terrace College,West Valley High,Western Ocean Secondary
Gregory,Mcintyre,584 Rapid City Lane,Northern View,72405,387,349,736,,Main Bayou College,Central Bay Secondary,North-West Ocean Senior,Main Plateau College
Alberto,Wright,249 Rogers Place,Main Bay,72404,370,366,736,,Northern Ocean Secondary,West Ocean Senior,South View Composite,Main Valley Senior
Avery,Hines,994 Norwalk Court,Western Delta,72432,360,376,736,,Northern River Senior,Main Ridge College,East Ocean Secondary,Main Delta Senior
Dillan,Allison,547 Apex Avenue,East Terrace,72377,348,388,736,,East Terrace Senior,Southern Bay College,North Bay College,Main Plateau Composite
Benjamin,Garner,371 Florence-Graham Place,Southern Bayou,72423,343,393,736,,Northern Bayou High,Central Terrace Junior-Sec,East Ocean Secondary,North Valley Junior-Sec
Gavin,Atkins,9 Lakewood Place,West Bay,72374,340,396,736,,Southern Ridge Secondary,Southern Bayou Composite,Main River College,Eastern Ocean Secondary
Chace,Santiago,879 Cathedral City Street,South Valley,72356,340,396,736,,Central Terrace Junior-Sec,Main Terrace College,South Ocean High,North Bay High
Moses,Cardenas,224 Bloomington Avenue,West Terrace,72367,274,462,736,,Central Plateau Secondary,East River Senior,Eastern Bayou Secondary,Central Terrace Junior-Sec
Karter,Figueroa,495 Eastvale Drive,Southern Terrace,72417,265,471,736,,North Bay High,Northern Ocean Secondary,South Plateau Secondary,Main Terrace College
Kamari,Castro,270 Farmington Hills Boulevard,South Ridge,72359,473,262,735,,Western Bayou High,South River Junior-Sec,Southern Bay College,South Valley Senior
Calvin,Green,611 Westminster Lane,West Ridge,72369,467,268,735,,Southern Plateau Secondary,Main Terrace Senior,Central Ridge Senior,Western Plateau Secondary
Abel,Potts,704 El Paso de Robles Street,Main Plateau,72400,452,283,735,,South Plateau Secondary,Eastern River Secondary,Western Ridge High,Southern Ridge Secondary
Dwayne,Clarke,650 Lynn Avenue,South Terrace,72357,450,285,735,,Central-North View High,Western Delta Secondary,Western Ocean Secondary,Eastern Terrace Secondary
Denzel,Henry,985 Federal Way Road,South Bayou,72363,439,296,735,,Southern Terrace Senior,Eastern Plateau Senior,Main Plateau College,Northern Terrace High
Graham,Mora,82 Malden Drive,Northern Plateau,72410,436,299,735,,South Ocean High,Southern Terrace Senior,Northern Ocean Secondary,South River High
Connor,Bautista,372 Morgantown Avenue,Western Bayou,72433,425,310,735,,East Ocean Senior,South Plateau Secondary,Eastern Bayou Secondary,Northern Bay College
Alvin,Figueroa,420 Lauderhill Street,Western Bayou,72433,374,361,735,,Southern Terrace Senior,North Bay College,Main Terrace College,Central Terrace Junior-Sec
Carl,Wheeler,680 Westland Avenue,North Delta,72352,355,380,735,,Southern Plateau Secondary,East Valley Senior,Eastern River Secondary,West Bayou Senior
Jamie,Coleman,172 Westland Lane,Western Bayou,72433,352,383,735,,Northern Ocean Secondary,East-Central View Composite,South River Junior-Sec,East Valley High
Andrew,Cardenas,318 Rogers Street,West View,72365,345,390,735,,Main River College,East Bayou College,Eastern Plateau Senior,Western Ridge High
Jayden,Fernandez,31 Georgetown Road,Main Bay,72404,272,463,735,,Western Ocean Secondary,East River Senior,North Valley Junior-Sec,South Ocean High
Ben,Gay,652 St. Joseph Drive,Northern Bay,72414,252,483,735,,Eastern Plateau Senior,Eastern Bayou Secondary,Eastern Plateau Junior-Sec,West Ocean Secondary
Jakobe,Mcguire,304 Rocklin Court,North Delta,72352,237,498,735,,East Bayou College,West Ocean Secondary,Northern Terrace High,Eastern River Secondary
Enzo,Berger,393 Pasco Street,North River,72348,521,213,734,,Main Valley Senior,West Bayou Senior,Southern Bayou Composite,Western Bayou High
Hugh,Gill,334 Bangor Court,Northern Ridge,72409,513,221,734,,East Bayou High,Western Delta Secondary,Northern View Junior-Sec,Northern Valley Senior
Carlo,Andersen,513 New Braunfels Lane,Central Ridge,72389,478,256,734,,East Bayou High,South View Composite,North Ridge High,East Valley Senior
Stephen,Casey,289 Yuba City Road,West Ridge,72369,440,294,734,,Main River College,Main Bayou College,Western Delta Secondary,Eastern Valley Junior-Sec
Reed,Nichols,389 Perris Place,North Ridge,72349,425,309,734,,Main Valley Senior,Southern Bayou Composite,North Bayou High,Western Ocean Secondary
Anton,Palmer,7 Downey Place,Eastern Ocean,72441,393,341,734,,Eastern Plateau Junior-Sec,North Bay High,North Ridge High,Main Delta Senior
Aditya,Oneill,313 Inglewood Avenue,North View,72345,380,354,734,,North Valley Junior-Sec,Northern Bay College,West Ocean Senior,Eastern Plateau Junior-Sec
Dayton,Jackson,968 Troy Drive,Northern Plateau,72410,299,435,734,,North Terrace High,Eastern View Composite,Main Plateau College,North Bayou High
Raul,Graham,256 Broomfield Place,South Bayou,72363,288,446,734,,Eastern Plateau Junior-Sec,Main River College,Main Terrace Senior,East Bayou High
Kenny,Fisher,915 Casper Place,Eastern Terrace,72437,271,463,734,,Central Terrace Junior-Sec,Northern Valley Senior,East Bayou High,South River High
Sean,Mathis,962 Plantation Boulevard,North Ocean,72351,271,463,734,,West Ocean Senior,Main Terrace Secondary,South View Composite,Northern Bay Senior
Giovani,Mccall,272 Royal Oak Avenue,Central River,72388,249,485,734,,Northern Bay College,Northern Bay Senior,Eastern View High,North-West Ocean Senior
Lorenzo,Donovan,789 Bossier City Lane,East View,72375,241,493,734,,Southern Plateau Secondary,South River High,Central Ridge Senior,Central Plateau Secondary
Jakobe,Irwin,415 Diamond Bar Place,West Delta,72372,478,255,733,,West Valley High,Eastern Plateau Senior,Central Terrace Junior-Sec,Southern Bay College
Darwin,Shields,241 Middletown Street,Central Ocean,72391,324,409,733,,Central Terrace Secondary,Southern Bay College,Southern Plateau Secondary,West Ocean Senior
Jerome,Rivas,464 Winchester Court,Central Terrace,72387,277,456,733,,Northern Terrace High,Main Delta Composite,South Plateau Secondary,South River High
Holden,Conrad,498 Delray Beach Street,Northern River,72408,268,465,733,,North Plateau Secondary,South River High,Northern Valley Senior,Eastern Bayou Junior-Sec
Maurice,Fisher,164 Des Plaines Place,East Plateau,72380,257,476,733,,Eastern Plateau Senior,North Terrace High,Central Ridge Senior,West Bayou Senior
Ernest,Fields,689 Weston Street,Eastern River,72438,531,201,732,,West Ocean Secondary,Southern Ridge Secondary,North Valley Junior-Sec,Eastern Terrace Secondary
Carl,Gray,282 Sunrise Boulevard,Eastern Delta,72442,530,202,732,,Western Ocean Secondary,Northern Bay Senior,Eastern View High,Central Ridge Senior
Xander,Garner,118 Ellicott City Avenue,West Ridge,72369,520,212,732,,Eastern Terrace Secondary,Western Delta Secondary,South River High,Main Valley Senior
Denzel,Nichols,251 Napa Avenue,South Valley,72356,519,213,732,,Central Terrace Secondary,Central Plateau Secondary,East Plateau College,East River Senior
Ruben,Smith,661 Lynchburg Lane,West River,72368,497,235,732,,Main Ridge College,Eastern View Composite,South View Composite,Northern Bayou High
Malcolm,Dorsey,175 Titusville Drive,East Valley,72376,468,264,732,,Northern Ocean Secondary,Western Delta Junior-Sec,Northern Valley Senior,North Ridge High
Peter,Gonzalez,456 Gardena Drive,South Delta,72362,464,268,732,,South Delta Secondary,East Terrace Senior,Main Terrace College,North Valley Junior-Sec
Luka,Logan,578 Sanford Place,West Bayou,72373,461,271,732,,Western Delta Junior-Sec,South View Composite,Eastern Plateau Senior,Main Delta Composite
Karter,Hanna,348 Pocatello Drive,North Terrace,72347,446,286,732,,West Bayou Senior,South Ocean High,Central Terrace Secondary,South View Composite
London,Mcintosh,472 Casas Adobes Avenue,Western View,72425,410,322,732,,South Valley Senior,East Bayou High,East River Senior,North Plateau Secondary
Jayden,Leach,61 Florence Lane,East View,72375,389,343,732,,Eastern Bayou Secondary,Main Terrace College,Southern Plateau Secondary,West Valley High
Edwin,Vincent,181 Encinitas Boulevard,West Bay,72374,359,373,732,,Northern Bayou High,Eastern Bayou Secondary,Western Ocean Secondary,East River Senior
Kolby,Garrett,773 Beloit Street,North Bay,72354,307,425,732,,Main Delta Composite,Central Ridge Senior,Southern Bayou Composite,North Terrace High
Aydan,Villegas,798 Troy Street,Western Ridge,72429,286,446,732,,North Terrace High,West Ocean Secondary,Central Ridge Composite,Main Plateau Composite
Victor,Mccall,644 Kettering Drive,South River,72358,264,468,732,,Eastern View Composite,South Delta Secondary,Northern Valley Senior,East River Senior
Victor,Gillespie,205 Lakewood Lane,Central Ridge,72389,260,472,732,,Main Terrace Secondary,Eastern View High,South Ridge High,Northern River Senior
Tomas,Copeland,230 Prescott Valley Avenue,Northern View,72405,250,482,732,,South View Composite,West Valley High,South River Junior-Sec,Eastern Plateau Senior
Alexis,Vincent,143 Fall River Road,North Plateau,72350,516,215,731,,Western Delta Junior-Sec,Main River College,Eastern Bayou Junior-Sec,Central Ridge Senior
Josiah,Diaz,229 Meriden Boulevard,Northern Plateau,72410,464,267,731,,Eastern View Composite,Central Ridge Composite,Main Valley Senior,Western Delta Junior-Sec
Dillan,Ortiz,176 Hazleton Avenue,East View,72375,395,336,731,,Southern Ocean High,Main River College,North Ridge High,Northern Delta Senior
Carlo,Potter,188 Novi Drive,Eastern Bay,72444,383,348,731,,Main River College,East Valley Senior,East Ocean Secondary,North Plateau Secondary
Braylen,Warner,853 Mount Pleasant Place,West Ridge,72369,370,361,731,,East-Central View Composite,West Ocean Secondary,Eastern View Composite,Western Delta Secondary
Alden,Thornton,325 Elizabeth Street,South Delta,72362,338,393,731,,Central-North View High,South Plateau Secondary,South River Junior-Sec,Main River College
Shaun,Humphrey,867 Bowie Street,North Delta,72352,330,401,731,,South River High,Eastern Plateau Junior-Sec,South Ridge High,East Ocean Senior
Carlo,Bowen,31 Cheyenne Place,East View,72375,321,410,731,,West Ocean Senior,North Valley Junior-Sec,Northern Bay College,Eastern Ocean Secondary
Grayson,Good,931 Baldwin Park Road,North Bay,72354,298,433,731,,Northern Ocean Secondary,Western Ridge High,Southern Terrace Senior,East Valley High
Nikolas,Anderson,568 Hot Springs Boulevard,South Ridge,72359,261,470,731,,East Terrace Senior,Western Ocean Secondary,East-Central View Composite,North Terrace High
Ernest,Lyons,67 Manhattan Drive,Central River,72388,249,482,731,,Eastern River Secondary,East Valley High,Southern Bayou Composite,Western Ridge High
Peter,Valencia,761 Coeur d'Alene Place,East Terrace,72377,516,214,730,,Main Terrace College,South Ocean High,Southern Bay College,Main Ridge College
Juan,Tucker,915 Bristol Court,Northern Delta,72412,507,223,730,,West Ocean Secondary,Southern Bayou Composite,Eastern Terrace Secondary,Main Delta Senior
Jensen,Diaz,302 Florence Place,South Ocean,72361,503,227,730,,Central Ridge Composite,Northern Bayou High,North-West Ocean Senior,South Plateau Secondary
Kenny,Fernandez,964 Ames Court,Central Plateau,72390,468,262,730,,East Bayou High,Western Delta Secondary,East Valley High,Central Ridge Senior
Parker,Gillespie,55 Cheyenne Boulevard,Main Ocean,72401,451,279,730,,Southern Plateau Secondary,Central-North View High,Northern Bay College,Northern Ocean Secondary
Kingston,Hale,602 League City Place,West Valley,72366,442,288,730,,Central Terrace Secondary,North Bay College,Central Ridge Composite,East Terrace Senior
Dwayne,Cain,695 Pontiac Boulevard,Western Terrace,72427,335,395,730,,Main Bayou College,North Ridge High,Western Delta Junior-Sec,Main River College
Dallas,Finley,114 Rockville Court,Main Ocean,72401,291,439,730,,North Plateau Secondary,West Ocean Senior,East-Central View Composite,Northern Delta Senior
Alden,Henry,917 Noblesville Boulevard,Western Terrace,72427,282,448,730,,Central Bay Secondary,East Valley High,East Bayou High,Southern Terrace Senior
Moses,Brennan,504 Port Orange Court,Main River,72398,274,456,730,,Northern Bay Senior,Eastern Plateau Junior-Sec,South View Composite,West Ocean Senior
Fabian,Hinton,663 Carbondale Place,Southern Bayou,72423,263,467,730,,Western Bayou High,Eastern Bayou Secondary,Main Delta Composite,Northern Delta Senior
Finley,Livingston,123 Terre Haute Lane,Main Delta,72402,240,490,730,,Eastern View Composite,Main Ridge College,Northern Valley Senior,Main Valley Senior
Alden,Aguirre,12 Bowling Green Road,West Bay,72374,504,225,729,,Eastern Terrace Secondary,Central Ridge Composite,West Ocean Senior,North Bay High
Johnathon,Mathis,162 Woodbury Avenue,West Plateau,72370,486,243,729,,West Ocean Secondary,Southern Bay College,East Bayou College,Eastern Valley Junior-Sec
Branden,Compton,964 Wenatchee Drive,Main Terrace,72397,484,245,729,,Northern Ocean Secondary,Main Terrace College,Main Terrace Senior,Northern Delta Senior
Mike,Schwartz,653 Waukesha Place,Western Bayou,72433,478,251,729,,Central Terrace Junior-Sec,Main Terrace Secondary,Southern Bay College,South River Junior-Sec
Colt,Shea,648 Chino Hills Road,Main Ridge,72399,447,282,729,,Northern Valley Senior,West Ocean Secondary,East Ocean Secondary,Main Terrace Secondary
Isaac,Santiago,324 Inglewood Boulevard,South Bay,72364,434,295,729,,Main Plateau Composite,East Valley High,Southern Plateau Secondary,Western Ridge High
Sean,Lozano,141 Yucaipa Avenue,South River,72358,387,342,729,,South Ridge High,East-Central View Composite,Western Ocean Secondary,East Bayou High
Deven,Chapman,611 Wesley Chapel Drive,East Valley,72376,364,365,729,,Eastern Plateau Junior-Sec,South Ocean High,Eastern River Secondary,South Plateau Secondary
Alfred,Rogers,282 La Habra Avenue,Main Bay,72404,346,383,729,,Eastern View High,East Terrace Senior,North-West Ocean Senior,Central Terrace Junior-Sec
Davion,Hernandez,226 Wenatchee Lane,Central Ocean,72391,322,407,729,,Central Ridge Composite,South River High,East Ocean Senior,West Valley High
Andrew,Byrd,93 Dale City Lane,East Bay,72384,298,431,729,,Main Terrace Secondary,East Valley High,Main Ridge College,Eastern View Composite
Jax,Lamb,321 South Jordan Place,Main Delta,72402,262,467,729,,Central Bay Secondary,Southern Plateau Secondary,Northern View Junior-Sec,Northern Delta Senior
Jamie,Dixon,677 Mount Pleasant Lane,West River,72368,521,207,728,,Eastern Bayou Secondary,Northern Bay College,South Ridge High,Main Delta Senior
Ruben,Hardin,243 San Clemente Street,North Bay,72354,514,214,728,,Main Bayou College,South View Composite,North Plateau Secondary,Western Delta Secondary
Johnathan,Sheppard,616 Roswell Avenue,Central River,72388,459,269,728,,North Bay High,Western Ridge High,Main Terrace College,Eastern Terrace Secondary
Giovani,Travis,560 Clifton Street,Eastern River,72438,456,272,728,,East Ocean Senior,South View Composite,Eastern Bayou Junior-Sec,Main Terrace Secondary
Devin,Cain,853 West Bend Court,Northern Ridge,72409,454,274,728,,Northern River Senior,Main Delta Composite,Eastern Plateau Senior,East Bayou High
Tony,Richard,478 Melbourne Street,South Ocean,72361,449,279,728,,West Ocean Senior,Main Bayou College,Northern Bayou High,East Bayou College
Dayton,Cain,75 Walnut Creek Road,South Bay,72364,443,285,728,,South Ridge High,East Valley Senior,North Plateau Secondary,Southern Bay College
Leandro,Cox,922 Burlington Street,South Plateau,72360,303,425,728,,East Valley High,Northern View Junior-Sec,Main Delta Composite,Eastern View Composite
Camryn,Meza,970 Bellflower Drive,Eastern River,72438,294,434,728,,Western Plateau Secondary,Eastern Bayou Secondary,East Ocean Senior,Southern Ridge Secondary
Karter,Gill,866 Lake Elsinore Road,Eastern Terrace,72437,291,437,728,,Main Ridge College,East-Central View Composite,South Delta Secondary,Western Delta Secondary
Luka,Bradley,551 Florence-Graham Lane,Eastern View,72435,276,452,728,,East Bayou High,Western Ridge High,Northern River Senior,Southern Bayou Composite
Trenton,Burton,115 Grapevine Road,Western River,72428,244,484,728,,Western Plateau Secondary,East Bayou College,Main Terrace College,Main Delta Composite
Sam,Rivera,475 Burnsville Boulevard,Central Delta,72392,237,491,728,,South River Junior-Sec,North Bayou High,Main Delta Composite,Eastern View High
Kevin,Sloan,341 Lafayette Lane,Northern Delta,72412,484,243,727,,Main Terrace Secondary,South Delta Secondary,East Ocean Senior,Eastern Ocean Secondary
Aydan,Dorsey,767 Germantown Avenue,North Plateau,72350,482,245,727,,South Ridge High,Main Plateau College,Central Terrace Secondary,East Bayou High
Sonny,Pennington,883 Brentwood Street,Southern Ocean,72421,423,304,727,,Main Valley Senior,East Terrace Senior,Central Plateau Secondary,East Bayou College
Abel,Mora,139 Towson Court,North Plateau,72350,362,365,727,,South View Composite,East Bayou College,South Delta Secondary,Main River College
Ernest,Santiago,742 Baytown Place,Central Delta,72392,352,375,727,,Southern Plateau Secondary,South Ocean High,Main River College,Western Ridge High
Calvin,Hawkins,591 Jonesboro Road,Central Ocean,72391,291,436,727,,North Bay College,East Ocean Secondary,East Bayou College,Eastern River Secondary
Ezekie,George,798 Independence Lane,Northern Plateau,72410,272,455,727,,Central Terrace Junior-Sec,Central-North View High,Eastern Plateau Senior,East Bayou College
Blake,Mann,174 Encinitas Road,Northern Ocean,72411,522,204,726,,Central Ridge Composite,North Plateau Secondary,North Bay High,East Ocean Secondary
Peter,Guerrero,386 Blaine Avenue,West Plateau,72370,512,214,726,,North Plateau Secondary,Central Plateau Secondary,Eastern Ocean Secondary,Main Terrace Senior
Dwayne,Leach,105 El Cajon Boulevard,Main Plateau,72400,502,224,726,,South Valley Senior,Western Ridge High,Central Bay Secondary,West Ocean Senior
Enzo,Luna,360 Mansfield Drive,East Ridge,72379,501,225,726,,Northern View Junior-Sec,Main Plateau Composite,South Plateau Secondary,Northern River Senior
Case,Browning,740 Riverview Place,Northern Bayou,72413,498,228,726,,North Bayou High,Main River College,Main Ridge College,South Ocean High
Kolby,Mccall,858 Temple Boulevard,Central Ocean,72391,461,265,726,,Main River College,Eastern River Secondary,Southern Ridge Secondary,Main Delta Composite
Sonny,Hardin,911 Pasco Place,East Terrace,72377,449,277,726,,East Bayou College,Eastern Ocean College,East Valley Senior,East Terrace Senior
Parker,Blackburn,191 Wausau Court,West Bay,72374,393,333,726,,West Bayou Senior,Western Ocean Secondary,Main Plateau College,Central Terrace Secondary
Dwayne,Ortiz,571 Marietta Street,Northern Plateau,72410,389,337,726,,Northern Bay College,Central Plateau Secondary,Eastern Bayou Secondary,South Ocean High
Harrison,Gray,329 Bradenton Avenue,North Ocean,72351,371,355,726,,North Ridge High,Eastern View Composite,Main Ridge College,Northern Delta Senior
Raul,Maxwell,650 Redmond Place,Main Delta,72402,356,370,726,,South River High,Central-North View High,Western Delta Junior-Sec,Eastern View Composite
Benjamin,Fisher,705 Suffolk Lane,Western Delta,72432,318,408,726,,South Ocean High,East Bayou College,North Valley Junior-Sec,Northern Ocean Secondary
Mike,Meza,383 Union City Avenue,Central View,72385,313,413,726,,Eastern Bayou Secondary,Northern Terrace High,Central Plateau Secondary,Central Terrace Junior-Sec
Fabian,Barton,595 Waltham Place,Western Ocean,72431,309,417,726,,North Bay College,North Valley Junior-Sec,Eastern Bayou Secondary,East Valley High
Theodore,Finley,244 Waldorf Drive,Eastern Terrace,72437,292,434,726,,West Valley High,Western Delta Junior-Sec,Central Ridge Senior,Eastern Plateau Junior-Sec
Arnav,Moreno,429 Tulare Lane,Main Ocean,72401,284,442,726,,West Ocean Secondary,Central Bay Secondary,East Valley Senior,Main River College
Karter,Reed,179 Hot Springs Court,Eastern Terrace,72437,248,478,726,,Eastern Bayou Junior-Sec,East Ocean Senior,Northern Ocean Secondary,Main River College
London,Patrick,375 Pawtucket Road,Central Delta,72392,236,490,726,,Northern Bay Senior,East Valley Senior,Central Ridge Senior,Central Bay Secondary
Brenden,Hurley,753 Bolingbrook Street,Main Ridge,72399,227,499,726,,South Delta Secondary,Northern Bay College,Main Terrace College,Northern River Senior
Isaac,Mcintosh,276 Towson Lane,Southern Plateau,72420,525,200,725,,Southern Bay College,Southern Ocean High,Southern Plateau Secondary,South River High
Makai,Davila,414 Apex Lane,East Valley,72376,514,211,725,,North Valley Junior-Sec,East Terrace Senior,Main Delta Composite,Southern Plateau Secondary
Benjamin,Brennan,386 Brentwood Drive,West View,72365,511,214,725,,Southern Bayou Composite,Main Plateau Composite,South Delta Secondary,North Ridge High
Allen,Bowen,157 Richmond Lane,Southern Ocean,72421,464,261,725,,Central Ridge Composite,East Bayou High,Main Delta Composite,East Ocean Secondary
Barrett,Randolph,57 Jacksonville Avenue,Western Bayou,72433,433,292,725,,Western Delta Secondary,South Delta Secondary,North Terrace High,East Valley High
Blake,Booth,118 West Jordan Street,Western Delta,72432,433,292,725,,North-West Ocean Senior,Eastern View Composite,East Ocean Senior,South River High
Ishaan,Conrad,376 Alton Avenue,Eastern Ocean,72441,431,294,725,,Southern Ridge Secondary,Northern Delta Senior,Central Terrace Junior-Sec,Northern Bay College
Holden,Rios,361 South Gate Lane,South Ocean,72361,425,300,725,,South River High,Northern Valley Senior,Central Terrace Junior-Sec,Eastern Ocean Secondary
Larry,Love,345 Flagstaff Drive,Western Valley,72426,393,332,725,,Western Delta Secondary,East Valley High,East-Central View Composite,North Valley Junior-Sec
Kristian,Travis,290 Kokomo Lane,Central Bay,72394,360,365,725,,Main Delta Composite,Eastern Bayou Junior-Sec,Northern River Senior,South Ridge High
Jerome,Howe,612 Morristown Court,Central Delta,72392,343,382,725,,South Valley Senior,Central Ridge Composite,Western Ocean Secondary,Eastern Bayou Secondary
Lucas,Robles,360 Rancho Cordova Drive,West Plateau,72370,314,411,725,,East Valley Senior,North Valley Junior-Sec,South View Composite,Main Terrace Secondary
Josiah,Campbell,271 Mount Vernon Lane,Western View,72425,310,415,725,,North Terrace High,Eastern Bayou Secondary,Central Plateau Secondary,Main Plateau College
Ben,White,14 Downey Drive,Central Ocean,72391,295,430,725,,Southern Bayou Composite,South River Junior-Sec,Northern View Junior-Sec,West Ocean Secondary
Malcolm,Werner,543 El Cajon Drive,West Ocean,72371,271,454,725,,East Terrace Senior,Southern Terrace Senior,West Bayou Senior,East Ocean Secondary
Jakobe,Payne,525 Arvada Boulevard,Western View,72425,516,208,724,,Western Delta Secondary,Eastern River Secondary,East Plateau College,East Bayou High
Bobby,Young,181 St. Clair Shores Drive,West Ocean,72371,515,209,724,,Western Plateau Secondary,Southern Plateau Secondary,South River Junior-Sec,Northern Delta Senior
Ruben,Hurst,276 Saginaw Street,Main Bay,72404,495,229,724,,Southern Bayou Composite,South Delta Secondary,North Valley Junior-Sec,Main Terrace College
Johnathan,Allison,760 Cicero Place,Eastern Terrace,72437,478,246,724,,Southern Bayou Composite,Western Bayou High,West Ocean Senior,South Valley Senior
Luka,Barry,268 Chino Avenue,East Bay,72384,394,330,724,,Main Delta Senior,North Bayou High,Northern Bay Senior,Southern Bay College
Braylen,Bruce,647 Gresham Street,West River,72368,335,389,724,,South Ocean High,Southern Plateau Secondary,Northern Terrace High,West Ocean Secondary
Kadyn,Rios,693 Mission Avenue,North River,72348,319,405,724,,Main Bayou College,Eastern Valley Junior-Sec,Southern Ridge Secondary,Southern Plateau Secondary
Ernest,Wolfe,880 Bartlett Road,Northern Valley,72406,313,411,724,,Eastern Terrace Secondary,Western Bayou High,Eastern View High,Main Terrace College
Hugh,Tucker,940 Lenexa Avenue,Southern Bay,72424,296,428,724,,North Plateau Secondary,Northern Bay College,West Ocean Secondary,Eastern View Composite
Kody,Diaz,110 Wesley Chapel Avenue,Northern Terrace,72407,253,471,724,,North Bay High,Eastern View High,Eastern Terrace Secondary,North Ridge High
Ayaan,Bray,190 Walla Walla Lane,Western Bay,72434,514,209,723,,Southern Bayou Composite,North Bay High,Eastern View Composite,Southern Terrace Senior
Grant,Bradford,566 Harrisonburg Avenue,Eastern Bayou,72443,510,213,723,,West Valley High,Main Plateau Composite,Northern Bayou High,Eastern Terrace Secondary
Avery,Gillespie,473 Pinellas Park Street,Central Bayou,72393,486,237,723,,North Valley Junior-Sec,North Bay College,Northern Terrace High,North Ridge High
Caiden,Price,387 Owensboro Road,East Ridge,72379,462,261,723,,Main Delta Composite,Eastern Bayou Junior-Sec,East-Central View Composite,Central Ridge Composite
Leo,Lucas,676 Weirton Lane,East Bay,72384,452,271,723,,North-West Ocean Senior,Main Bayou College,Western Ridge High,Northern Delta Senior
Konner,Schultz,563 Silver Spring Place,Southern Terrace,72417,354,369,723,,Main Delta Senior,Southern Bay College,Main Valley Senior,Central-North View High
Ayaan,Beltran,583 Bethesda Lane,Main View,72395,346,377,723,,Western Delta Junior-Sec,Northern View Junior-Sec,Main Valley Senior,Main River College
Calvin,Berger,780 Dublin Avenue,North Delta,72352,310,413,723,,Main Ridge College,Northern Bayou High,Main Delta Composite,East Plateau College
Cael,Patrick,930 Medford Drive,West Bayou,72373,292,431,723,,East Plateau College,Eastern Ocean College,Eastern Ocean Secondary,East Bayou High
Gregory,Sheppard,468 League City Court,Northern Bayou,72413,492,230,722,,Southern Ridge Secondary,Western Delta Junior-Sec,North Valley Junior-Sec,Main Plateau College
Jensen,Riley,446 Casper Avenue,Southern Valley,72416,414,308,722,,South Valley Senior,Main Terrace Senior,East Bayou High,Northern Bay College
Bobby,Baird,524 Berwyn Court,East View,72375,392,330,722,,North Ridge High,North Bay College,Eastern Valley Junior-Sec,South Plateau Secondary
Johnathon,Sutton,253 Richland Drive,Southern Valley,72416,363,359,722,,East Bayou High,South Ocean High,North Bay High,Eastern View High
Kamari,Conrad,183 St. Charles Lane,Central Bay,72394,488,234,722,,West Bayou Senior,Southern Ocean High,North-West Ocean Senior,Main Delta Composite
Jakobe,Hodge,895 Johnstown Place,East River,72378,282,440,722,,East Ocean Senior,Main Terrace College,Main Terrace Secondary,Main River College
Kadyn,Sweeney,189 Bismarck Place,South Terrace,72357,275,447,722,,Main Terrace Senior,Northern Delta Senior,East-Central View Composite,Central-North View High
Frankie,Archer,498 Mount Prospect Avenue,East Terrace,72377,273,449,722,,Eastern Ocean Secondary,East-Central View Composite,Central Ridge Senior,Western Ocean Secondary
Trenton,Medina,510 Palo Alto Drive,West Terrace,72367,224,498,722,,Western Plateau Secondary,Eastern Ocean Secondary,East Ocean Secondary,Central Terrace Secondary
Ishaan,Henry,922 San Marcos Place,Northern Plateau,72410,521,200,721,,Eastern View Composite,North Terrace High,Southern Terrace Senior,East Bayou College
Malcolm,Potts,318 Town 'n' Country Place,Western Plateau,72430,458,263,721,,East River Senior,Southern Plateau Secondary,Main Delta Composite,East Plateau College
Bailey,Molina,192 Rockville Boulevard,North Valley,72346,439,282,721,,North-West Ocean Senior,Eastern View Composite,Main Delta Senior,Main Delta Composite
Anton,Bray,631 Wyoming Avenue,Central Delta,72392,426,295,721,,Eastern View High,Southern Terrace Senior,North Bay High,Northern River Senior
Juan,Barron,716 Rapid City Place,Southern View,72415,395,326,721,,Southern Ocean High,Northern River Senior,East River Senior,East Plateau College
Enzo,Medina,980 Montebello Drive,Southern Valley,72416,355,366,721,,Main River College,Main Bayou College,North Plateau Secondary,Eastern Bayou Junior-Sec
Skylar,Schwartz,961 Bowling Green Place,Southern Valley,72416,331,390,721,,South Delta Secondary,Northern Bay Senior,South View Composite,Western Ocean Secondary
Skylar,Hodge,387 Walnut Creek Lane,South Bayou,72363,327,394,721,,Main Plateau College,Western Bayou High,Northern Valley Senior,Central Terrace Junior-Sec
Leandro,Glover,624 Dundalk Boulevard,Main Valley,72396,316,405,721,,Central Bay Secondary,Eastern Plateau Junior-Sec,North Terrace High,Northern Terrace High
Ari,Mann,35 Grand Forks Drive,Central Bayou,72393,297,424,721,,East-Central View Composite,Central Plateau Secondary,Northern River Senior,Central-North View High
Adonis,Maxwell,971 Walnut Creek Place,West Bay,72374,267,454,721,,Northern Ocean Secondary,South Delta Secondary,Eastern River Secondary,East Terrace Senior
